Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
UVAVirginia Cavaliers,16-2,-,0.889,33-3,0.917,15-1,1-Oct,W4,3-Sep,3-Jul
UNCNorth Carolina Tar Heels,16-2,-,0.889,29-7,0.806,14-2,1-Nov,L1,5-Aug,5-Aug
DUKEDuke Blue Devils,14-4,2,0.778,32-6,0.842,15-2,2-Jul,L1,5-Oct,5-Oct
FSUFlorida State Seminoles,13-5,3,0.722,29-8,0.784,15-1,4-Jun,L1,5-Jun,5-Jun
VTVirginia Tech Hokies,6-Dec,4,0.667,26-9,0.743,14-2,5-May,L1,7-Mar,7-Mar
SYRSyracuse Orange,8-Oct,6,0.556,20-14,0.588,13-6,4-Jun,L2,8-Mar,8-Mar
LOULouisville Cardinals,8-Oct,6,0.556,20-14,0.588,14-4,6-May,L2,8-Apr,8-Apr
NCSTNC State Wolfpack,9-Sep,7,0.5,24-12,0.667,17-5,6-Apr,L1,9-Jan,9-Jan
CLEMClemson Tigers,9-Sep,7,0.5,20-14,0.588,14-5,6-Apr,L1,7-Jan,8-Jan
GTGeorgia Tech Yellow Jackets,12-Jun,10,0.333,14-18,0.438,7-Nov,9-Mar,L1,0-8,0-7
BCBoston College Eagles,13-May,11,0.278,14-17,0.452,8-Oct,8-Feb,L4,4-Jan,4-Feb
MIAMiami Hurricanes,13-May,11,0.278,14-18,0.438,5-Nov,0-10,L1,0-9,0-10
WAKEWake Forest Demon Deacons,14-Apr,12,0.222,20-Nov,0.355,8-Aug,10-Jan,L4,9-Jan,9-Jan
PITTPittsburgh Panthers,15-Mar,13,0.167,14-19,0.424,7-Nov,0-11,L1,7-Jan,7-Jan
NDNotre Dame Fighting Irish,15-Mar,13,0.167,14-19,0.424,8-Nov,9-Jan,L1,0-8,0-9
