Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Michigan State Spartans,16-4,-,0.8,32-6,0.842,15-1,4-Aug,W9,1-Dec,1-Dec,Big Ten
Purdue Boilermakers,16-4,-,0.8,26-10,0.722,15-0,6-Jun,L1,6-Jun,6-Jun,Big Ten
Michigan Wolverines,15-5,1,0.75,30-7,0.811,17-1,4-Jul,L1,4-Jul,5-Jul,Big Ten
Wisconsin Badgers,14-6,2,0.7,23-11,0.676,3-Dec,5-Aug,L2,5-Mar,5-Mar,Big Ten
Maryland Terrapins,13-7,3,0.65,23-11,0.676,15-3,5-Jun,L1,6-Apr,7-Apr,Big Ten
Iowa Hawkeyes,10-Oct,6,0.5,23-12,0.657,14-4,6-Apr,L1,7-May,7-May,Big Ten
Minnesota Golden Gophers,11-Sep,7,0.45,22-14,0.611,13-3,9-Feb,L1,9-May,9-May,Big Ten
Ohio State Buckeyes,12-Aug,8,0.4,20-15,0.571,6-Dec,7-Apr,L1,9-Feb,10-Feb,Big Ten
Indiana Hoosiers,12-Aug,8,0.4,19-16,0.543,15-6,9-Mar,L1,6-Apr,6-Mar,Big Ten
Rutgers Scarlet Knights,13-Jul,9,0.35,14-17,0.452,7-Oct,9-Apr,L3,5-Feb,5-Feb,Big Ten
Penn State Nittany Lions,13-Jul,9,0.35,14-18,0.438,6-Sep,9-Apr,L1,8-Mar,7-Mar,Big Ten
Illinois Fighting Illini,13-Jul,9,0.35,21-Dec,0.364,6-Sep,9-Jan,L1,7-Feb,7-Feb,Big Ten
Nebraska Cornhuskers,14-Jun,10,0.3,19-17,0.528,13-5,10-Feb,L1,9-Feb,8-Mar,Big Ten
Northwestern Wildcats,16-Apr,12,0.2,13-19,0.406,8-Oct,9-Jan,L2,0-7,0-8,Big Ten
