Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
TTUTexas Tech Red Raiders,14-4,-,0.778,30-6,0.833,17-1,6-3,W4,5-2,7-2
KSUKansas State Wildcats,14-4,-,0.778,25-9,0.735,14-2,7-5,L2,4-3,4-3
KUKansas Jayhawks,12-6,2,0.667,26-10,0.722,19-1,3-8,L1,8-4,7-4
BAYBaylor Bears,10-8,4,0.556,20-14,0.588,13-5,5-6,L1,3-5,3-5
ISUIowa State Cyclones,9-9,5,0.5,23-12,0.657,12-4,6-6,L1,6-3,6-3
TEXTexas Longhorns,8-10,6,0.444,19-16,0.543,15-6,2-9,W3,3-7,4-7
TCUTCU Horned Frogs,7-11,7,0.389,23-13,0.639,15-5,3-7,W3,2-7,2-7
OKLAOklahoma Sooners,7-11,7,0.389,20-14,0.588,11-4,5-7,L1,2-7,1-6
OKSTOklahoma State Cowboys,5-13,9,0.278,12-20,0.375,8-7,2-9,L1,1-6,1-7
WVUWest Virginia Mountaineers,4-14,10,0.222,15-21,0.417,11-7,0-11,L1,2-7,3-7
