Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
NKUNorthern Kentucky Norse,13-5,-,0.722,26-9,0.743,17-1,7-7,L1,0-1,0-1
WRSTWright State Raiders,13-5,-,0.722,21-14,0.6,15-2,5-8,L2,0-1,0-1
OAKOakland Golden Grizzlies,11-7,2,0.611,16-17,0.485,10-6,6-10,L1,0-1,0-1
GBGreen Bay Phoenix,10-8,3,0.556,21-17,0.553,15-3,5-13,L1,0-2,0-2
UICUIC Flames,10-8,3,0.556,16-16,0.5,12-4,4-12,L1,0-0,0-0
YSUYoungstown State Penguins,8-10,5,0.444,12-20,0.375,6-7,5-11,L4,0-1,0-1
IUPUIUPUI Jaguars,8-10,5,0.444,16-17,0.485,11-4,3-13,L4,0-0,0-0
DETDetroit Mercy Titans,8-10,5,0.444,11-20,0.355,7-6,4-14,L2,--,0-0
CLEVCleveland State Vikings,5-13,8,0.278,10-21,0.323,8-9,2-12,W2,0-1,0-1
MILWMilwaukee Panthers,4-14,9,0.222,9-22,0.29,6-8,3-12,L11,0-1,0-1
