Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
LSULSU Tigers,16-2,-,0.889,28-7,0.8,15-2,9-1,L1,4-3,5-3
TENNTennessee Volunteers,15-3,1,0.833,31-6,0.838,18-0,7-3,L1,3-5,3-5
UKKentucky Wildcats,15-3,1,0.833,30-7,0.811,17-1,8-2,L1,7-5,8-5
AUBAuburn Tigers,11-7,5,0.611,30-10,0.75,15-2,4-6,L1,6-6,6-6
SCSouth Carolina Gamecocks,11-7,5,0.611,16-16,0.5,11-6,4-8,L1,2-6,2-6
MSSTMississippi State Bulldogs,10-8,6,0.556,23-11,0.676,14-3,5-5,L2,1-5,1-5
MISSOle Miss Rebels,10-8,6,0.556,20-13,0.606,11-5,6-5,L2,2-4,2-4
FLAFlorida Gators,9-9,7,0.5,20-16,0.556,9-6,5-6,L1,3-10,3-10
ARKArkansas Razorbacks,8-10,8,0.444,18-16,0.529,12-6,5-8,L1,1-4,1-4
ALAAlabama Crimson Tide,8-10,8,0.444,18-16,0.529,10-6,4-8,L2,3-3,3-3
TA&MTexas A&M Aggies,6-12,10,0.333,14-18,0.438,9-8,3-7,L1,0-6,0-6
MIZMissouri Tigers,5-13,11,0.278,15-17,0.469,9-7,2-8,L1,0-6,0-5
UGAGeorgia Bulldogs,2-16,14,0.111,11-21,0.344,8-9,2-9,L3,0-7,0-6
VANVanderbilt Commodores,0-18,16,0,9-23,0.281,8-10,1-11,L20,1-6,1-6
